team,gsax_p60_avg,gsax_correction
ANA,-0.01616154289599463,0.06398885556958225
ARI,0.06164089613103829,-0.013813583457450672
BOS,0.38054945172308785,-0.3327221390495002
BUF,0.09507014642498533,-0.04724283375139771
CAR,-0.04743667529486315,0.09526398796845077
CBJ,-0.015611894949253994,0.06343920762284161
CGY,0.035071170954194146,0.012756141719393474
CHI,-0.09079677866772118,0.1386240913413088
COL,0.20365790617243704,-0.15583059349884942
DAL,0.172454518293748,-0.12462720562016039
DET,-0.07996275086634502,0.12779006353993264
EDM,-0.11785728954772962,0.16568460222131723
FLA,0.07380727254579789,-0.025979959872210266
LAK,0.23012304643475237,-0.18229573376116476
MIN,0.08617607707387233,-0.03834876440028471
MTL,0.16100067595950224,-0.11317336328591462
NJD,-0.00039795305918745706,0.04822526573277508
NSH,0.03562575954742658,0.012201553126161037
NYI,0.30479206574960777,-0.2569647530760201
NYR,0.15095749913527448,-0.10313018646168687
OTT,-0.20001411409293904,0.24784142676652665
PHI,-0.20433599460572172,0.25216330727930936
PIT,-0.03777582839088813,0.08560314106447575
SEA,0.07084921660541545,-0.023021903931827827
SJS,-0.34398183456708964,0.3918091472406773
STL,0.08448301524597322,-0.0366557025723856
TBL,0.0621491031960718,-0.014321790522484182
TOR,0.08677041465705904,-0.038943101983471416
UTA,0.05742371653777847,-0.009596403864190847
VAN,-0.09729951465645355,0.14512682733004117
VGK,-0.04175065107783702,0.08957796375142464
WPG,0.3386247084960608,-0.29079739582247316
WSH,0.18045748001633263,-0.13263016734274502
